,AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
0,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-09-22,4.655680179595947,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
1,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-09-27,5.945218563079834,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
2,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-02,3.9297428131103516,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
3,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-07,3.9998977184295654,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
4,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-17,6.944831371307373,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
5,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-10-22,9.968382835388184,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
6,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-11-06,3.995333671569824,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
7,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-11-16,5.63987922668457,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
8,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-11-21,4.680217742919922,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
9,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-01,8.16181468963623,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
10,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-06,10.477556228637695,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
11,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-16,4.730526924133301,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
12,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-21,5.925252437591553,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
13,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-26,8.002782821655273,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
14,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2018-12-31,10.456999778747559,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
15,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-05,9.52542495727539,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
16,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-10,6.863113880157471,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
17,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-01-25,6.086809158325195,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
18,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-04,6.952395439147949,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
19,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-09,10.346190452575684,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
20,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-14,5.097423553466797,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
21,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-19,13.334929466247559,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
22,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-11,10.479503631591797,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
23,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-21,7.545940399169922,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
24,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-31,5.20853328704834,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
25,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-04-10,4.2515130043029785,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
26,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-04-25,1.9985206127166748,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
