AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-02-05T09:56:42,3,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,IT3,Weekly
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-02-14T09:56:49,2,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,IT3,Weekly
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-02-20T09:45:16,3,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,IT3,Weekly
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-02-26T09:54:50,1,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,IT3,Weekly
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-03-08T12:38:00,2,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,IT3,Weekly
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1,2020-03-11T09:57:42,3,Average number of ships in reference period April 2019,2019-04-15T10:14:40,3,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON(((8.863167  44.404538,8.86803 44.41335,8.87792 44.41187,8.87193 44.40258,8.863167 44.404538)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,IT3,Weekly
"54.537859,18.510887",PL,,Gdynia,Port of Gdynia,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planet,[NEW] Planet COVID-19,E1,2020-02-07T09:31:41,1,Average number of ships in reference period April 2019,2019-04-17T07:58:08,1,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((18.518994 54.533727,18.526106 54.536151,18.527008 54.535296,18.520112 54.532776,18.518994 54.533727)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,PL1,Weekly
"54.537859,18.510887",PL,,Gdynia,Port of Gdynia,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Planet,[NEW] Planet COVID-19,E1,2020-02-14T09:55:09,1,Average number of ships in reference period April 2019,2019-04-17T07:58:08,1,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((18.518994 54.533727,18.526106 54.536151,18.527008 54.535296,18.520112 54.532776,18.518994 54.533727)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,PL1,Weekly
"54.537859,18.510887",PL,,Gdynia,Port of Gdynia,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E1,2020-02-24T10:23:20,0,Average number of ships in reference period April 2019,2019-04-17T07:58:08,1,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((18.518994 54.533727,18.526106 54.536151,18.527008 54.535296,18.520112 54.532776,18.518994 54.533727)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,PL1,Weekly
"54.537859,18.510887",PL,,Gdynia,Port of Gdynia,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E1,2020-03-10T10:07:32,0,Average number of ships in reference period April 2019,2019-04-17T07:58:08,1,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((18.518994 54.533727,18.526106 54.536151,18.527008 54.535296,18.520112 54.532776,18.518994 54.533727)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,PL1,Weekly
